url,label,category,description
https://egov.kz,0,government,Official e-government portal of Kazakhstan
https://www.akorda.kz,0,government,Official website of the President of Kazakhstan
https://www.gov.kz,0,government,Official government portal of Kazakhstan
https://minfin.kz,0,government,Ministry of Finance of Kazakhstan
https://mfa.gov.kz,0,government,Ministry of Foreign Affairs of Kazakhstan
https://www.nbrk.kz,0,government,National Bank of Kazakhstan
https://stat.gov.kz,0,government,Bureau of National Statistics
https://www.minjust.gov.kz,0,government,Ministry of Justice of Kazakhstan
https://www.med.gov.kz,0,government,Ministry of Health of Kazakhstan
https://www.edu.gov.kz,0,government,Ministry of Education of Kazakhstan
https://adilet.zan.kz,0,government,Legal information system of Kazakhstan
https://kaspi.kz,0,banking,Kaspi Bank official website
https://www.halykbank.kz,0,banking,Halyk Bank official website
https://www.bcc.kz,0,banking,Bank CenterCredit official website
https://www.atfbank.kz,0,banking,ATF Bank official website
https://www.jusan.kz,0,banking,Jusan Bank official website
https://www.forte.kz,0,banking,ForteBank official website
https://www.eurasian-bank.kz,0,banking,Eurasian Bank official website
https://www.shinhanbank.kz,0,banking,Shinhan Bank Kazakhstan
https://www.nurbank.kz,0,banking,NurBank official website
https://www.enpf.kz,0,financial,Unified Accumulative Pension Fund
https://www.kase.kz,0,financial,Kazakhstan Stock Exchange
https://www.kcell.kz,0,telecom,Kcell mobile operator
https://www.beeline.kz,0,telecom,Beeline Kazakhstan
https://www.activ.kz,0,telecom,Activ mobile operator
https://www.tele2.kz,0,telecom,Tele2 Kazakhstan
https://kolesa.kz,0,marketplace,Car marketplace Kazakhstan
https://krisha.kz,0,marketplace,Real estate marketplace Kazakhstan
https://olx.kz,0,marketplace,OLX Kazakhstan classifieds
https://satu.kz,0,marketplace,Product marketplace Kazakhstan
https://market.yandex.kz,0,marketplace,Yandex Market Kazakhstan
https://wildberries.kz,0,marketplace,Wildberries Kazakhstan
https://www.nur.kz,0,news,Nur.kz news portal
https://informburo.kz,0,news,Informburo news portal
https://tengrinews.kz,0,news,Tengri News portal
https://www.zakon.kz,0,news,Zakon.kz legal news
https://kapital.kz,0,news,Kapital business news
https://kz.kursiv.media,0,news,Kursiv media Kazakhstan
https://www.airastana.kz,0,services,Air Astana official website
https://www.railways.kz,0,services,Kazakhstan Railways
